"n","momento","metodo","url","status","bytes","md5","etiqueta"
15,"2026-08-13T22:29:37","GET","https://www.bcn.cl/leychile/consulta/ayuda_tramitacion",200,9771,"4a76c23361fc6ff7b685eb1476758d65","bcn ayuda tramitacion"
16,"2026-08-13T22:29:37","GET","https://www.camara.cl/legislacion/proyectosdeley/proyectos_ley.aspx",403,5483,"a8d42001394b53a39b07f80a0618cb28","camara buscador proyectos"
17,"2026-08-13T22:32:32","GET","https://www.camara.cl/legislacion/sala_sesiones/votaciones.aspx",NA,NA,NA,"nav: REAL votaciones.aspx"
18,"2026-08-13T22:32:32","GET","https://www.camara.cl/legislacion/catalogo_sufijos_boletin_inventado.aspx",NA,NA,NA,"nav: FABRICADA (control)"
19,"2026-08-13T22:32:32","GET","https://www.camara.cl/camara/comisiones.aspx",NA,NA,NA,"nav: REAL comisiones.aspx"
20,"2026-08-13T22:32:32","GET","https://www.bcn.cl/formacioncivica/detalle_guia?h=10221.3/45685",200,31570,"c91c706b7709a7efe74debab6750884a","bcn formacion civica tramitacion"
21,"2026-08-13T22:32:33","GET","https://www.senado.cl/appsenado/index.php?mo=tramitacion&ac=avanzada",200,0,"d41d8cd98f00b204e9800998ecf8427e","sil busqueda avanzada"
22,"2026-08-13T22:32:33","GET","https://www.bcn.cl/leychile",200,9771,"4a76c23361fc6ff7b685eb1476758d65","bcn leychile portada"
23,"2026-08-13T22:32:33","GET","https://tramitacion.senado.cl/appsenado/index.php?mo=tramitacion&ac=avanzada",200,0,"d41d8cd98f00b204e9800998ecf8427e","tramitacion.senado avanzada"
24,"2026-08-13T22:32:47","GET","https://www.camara.cl/legislacion/sala_sesiones/votaciones.aspx",403,5836,"c656a0c22320e672259bae6407a7e2c7","nav: REAL votaciones.aspx"
25,"2026-08-13T22:32:47","GET","https://www.camara.cl/legislacion/catalogo_sufijos_boletin_inventado.aspx",403,5836,"ef8846bf3f048d6763991fd7c6e57a50","nav: FABRICADA (control)"
26,"2026-08-13T22:32:47","GET","https://www.camara.cl/camara/comisiones.aspx",403,5836,"002b7f4c7d987cc96889311567eef77e","nav: REAL comisiones.aspx"
27,"2026-08-13T22:32:47","GET","https://www.bcn.cl/formacioncivica/detalle_guia?h=10221.3/45685",200,31570,"c91c706b7709a7efe74debab6750884a","bcn formacion civica tramitacion"
28,"2026-08-13T22:32:47","GET","https://www.senado.cl/appsenado/index.php?mo=tramitacion&ac=avanzada",200,0,"d41d8cd98f00b204e9800998ecf8427e","sil busqueda avanzada"
29,"2026-08-13T22:32:48","GET","https://www.bcn.cl/leychile",200,9771,"4a76c23361fc6ff7b685eb1476758d65","bcn leychile portada"
30,"2026-08-13T22:32:48","GET","https://tramitacion.senado.cl/appsenado/index.php?mo=tramitacion&ac=avanzada",200,0,"d41d8cd98f00b204e9800998ecf8427e","tramitacion.senado avanzada"
31,"2026-08-13T22:33:41","GET","https://www.camara.cl/",403,5836,"7b3f2f17e708bcb7ed5338bb7ba68b8b","F3 intento 1: portada camara.cl (para cookie)"
32,"2026-08-13T22:33:41","GET","https://www.camara.cl/legislacion/sala_sesiones/votaciones.aspx",403,5836,"bfc2c6598aa41181727409daa811751c","F3 intento 2: votaciones.aspx con cookie de portada"
33,"2026-08-13T22:33:41","GET","http://www.camara.cl/legislacion/sala_sesiones/votaciones.aspx",520,7333,"c3591e2cb355de8c95e1861f4b6fed77","F3 intento 3: votaciones.aspx por http"
34,"2026-08-13T22:34:21","GET","https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89693",403,5836,"d9b8f29362007c214aa5439bc7b04ecf","F3 intento 4: votacion_detalle.aspx (R7)"
